utm_x,utm_y,flag,rddf_num
418438.281241,3867803.462973,1,0
418438.025767,3867803.487437,1,0
418437.806916,3867803.522664,1,0
418437.587967,3867803.546801,1,0
418437.369017,3867803.570939,1,0
418437.159199,3867803.594995,1,0
418436.949380,3867803.619050,1,0
418436.748594,3867803.631935,1,0
418436.475154,3867803.689831,1,0
418436.119534,3867803.748462,1,0
418435.782276,3867803.818020,1,0
418435.508737,3867803.864826,1,0
418435.235199,3867803.911633,1,0
418434.943398,3867803.958603,1,0
418434.651796,3867804.027753,1,0
418434.268980,3867804.108808,1,0
418433.968346,3867804.189130,1,0
418433.759122,3867804.279726,1,0
418433.413227,3867804.404815,1,0
418433.185840,3867804.506664,1,0
418432.949222,3867804.597504,1,0
418432.740196,3867804.710280,1,0
418432.476879,3867804.878995,1,0
418432.232616,3867805.136268,1,0
418432.043041,3867805.381960,1,0
418431.917285,3867805.615992,1,0
418431.783983,3867806.027545,1,0
418431.749935,3867806.305121,1,0
418431.780201,3867806.626486,1,0
418431.821381,3867807.147390,1,0
418431.881022,3867807.690310,1,0
418431.920221,3867807.989414,1,0
418431.995549,3867808.243831,1,0
418432.079512,3867808.442717,1,0
418432.172904,3867808.674791,1,0
418432.303415,3867808.973079,1,0
418432.442264,3867809.182566,1,0
418432.617638,3867809.391726,1,0
418432.747455,3867809.612384,1,0
418432.849978,3867809.844377,1,0
418432.774849,3867809.612139,0,0
418432.698432,3867809.235732,0,0
418432.650894,3867809.025430,0,0
418432.603257,3867808.804038,0,0
418432.555620,3867808.582646,0,0
418432.507785,3867808.339074,0,0
418432.469180,3867808.106510,0,0
418432.421444,3867807.874028,0,0
418432.382740,3867807.630374,0,0
418432.343937,3867807.375631,0,0
418432.286971,3867807.132140,0,0
418432.257299,3867806.877315,0,0
418432.209464,3867806.633743,0,0
418432.134335,3867806.401506,0,0
418432.050173,3867806.180440,0,0
418431.939014,3867806.003979,0,0
418431.781804,3867805.783565,0,0
418431.625286,3867805.640782,0,0
418431.422915,3867805.476226,0,0
418431.239004,3867805.333688,0,0
418431.018370,3867805.169295,0,0
418430.843888,3867805.059945,0,0
418430.651242,3867804.961848,0,0
418430.431401,3867804.886176,0,0
418430.202627,3867804.832765,0,0
418429.955590,3867804.779517,0,0
418429.708653,3867804.737359,0,0
418429.462112,3867804.739561,0,0
418429.224801,3867804.752772,0,0
418428.996423,3867804.743721,0,0
418428.777275,3867804.745679,0,0
418428.567357,3867804.758645,0,0
418428.202507,3867804.806267,0,0
418427.938100,3867804.852993,0,0
418427.691856,3867804.888465,0,0
418427.445711,3867804.935027,0,0
418427.199566,3867804.981590,0,0
418426.989946,3867805.027826,0,0
