utm_x,utm_y,flag
332209.720986,4128582.752792,0
332209.940838,4128582.659591,0
332210.169332,4128582.555117,0
332210.415557,4128582.450287,0
332210.652917,4128582.345635,0
332210.872546,4128582.241338,0
332211.127414,4128582.125236,0
332211.347265,4128582.032035,0
332211.610998,4128581.915755,0
332211.830850,4128581.822553,0
332212.059567,4128581.729174,0
332212.253045,4128581.647601,0
332212.446523,4128581.566028,0
332212.657287,4128581.461908,0
332212.859408,4128581.369062,0
332213.228635,4128581.206270,0
332213.448486,4128581.113069,0
332213.685846,4128581.008417,0
332213.932071,4128580.903588,0
332214.178073,4128580.787663,0
332214.432941,4128580.671561,0
332214.679166,4128580.566731,0
332214.916526,4128580.462080,0
332215.162751,4128580.357250,0
332215.400111,4128580.252599,0
332215.628605,4128580.148124,0
332215.857100,4128580.043650,0
332216.085817,4128579.950271,0
332216.314311,4128579.845797,0
332216.534163,4128579.752596,0
332216.859508,4128579.612883,0
332217.088002,4128579.508409,0
332217.307854,4128579.415207,0
332217.642286,4128579.286412,0
332217.871003,4128579.193033,0
332218.099497,4128579.088559,0
332218.337079,4128578.995003,0
332218.565796,4128578.901624,0
332218.803156,4128578.796973,0
332219.049603,4128578.703239,0
332219.278320,4128578.609860,0
332219.524767,4128578.516127,0
332219.762349,4128578.422571,0
332219.991066,4128578.329192,0
332220.228648,4128578.235636,0
332220.457143,4128578.131162,0
332220.685637,4128578.026688,0
332220.922997,4128577.922036,0
332221.142627,4128577.817739,0
332221.485480,4128577.666576,0
332221.713975,4128577.562102,0
332221.942692,4128577.468723,0
332222.285323,4128577.306464,0
332222.504952,4128577.202168,0
332222.733225,4128577.086598,0
332222.943989,4128576.982479,0
332223.181127,4128576.866732,0
332223.374606,4128576.785159,0
332223.558997,4128576.692668,0
332223.761118,4128576.599822,0
332224.024851,4128576.483542,0
332224.209465,4128576.402147,0
332224.420229,4128576.298028,0
332224.666454,4128576.193199,0
332225.044546,4128576.030230,0
332225.290771,4128575.925401,0
332225.519266,4128575.820927,0
332225.738896,4128575.716631,0
332226.027892,4128575.533246,0
332226.193664,4128575.396728,0
332226.393786,4128575.204022,0
332226.549139,4128574.990013,0
332226.669030,4128574.776714,0
332226.762327,4128574.563948,0
332226.838115,4128574.362631,0
332226.878442,4128574.162025,0
332226.918103,4128573.928132,0
332226.921193,4128573.639472,0
332226.890155,4128573.418095,0
332226.832743,4128573.208345,0
332226.730117,4128572.955101,0
332226.592697,4128572.735854,0
332226.410729,4128572.506398,0
332226.283285,4128572.342450,0
332226.164484,4128572.167230,0
332226.071834,4128571.969286,0
332225.933081,4128571.683465,0
332225.858161,4128571.485166,0
332225.755980,4128571.254113,0
332225.681282,4128571.066910,0
332225.588854,4128570.880061,0
332225.504847,4128570.670844,0
332225.429705,4128570.461450,0
332225.327746,4128570.241492,0
332225.198747,4128569.999876,0
332225.114517,4128569.779564,0
332225.021201,4128569.548333,0
332224.909710,4128569.295267,0
332224.788909,4128569.020187,0
332224.659688,4128568.767475,0
332224.530022,4128568.492573,0
332224.400801,4128568.239861,0
332224.280445,4128567.986972,0
332224.160088,4128567.734083,0
332224.049264,4128567.514303,0
332223.955947,4128567.283073,0
332223.845345,4128567.074388,0
332223.743385,4128566.854431,0
332223.650291,4128566.634296,0
332223.557196,4128566.414161,0
332223.455459,4128566.205299,0
332223.353499,4128565.985341,0
332223.260405,4128565.765206,0
332223.167311,4128565.545071,0
332223.073994,4128565.313841,0
332222.972034,4128565.093883,0
332222.869853,4128564.862830,0
332222.776758,4128564.642695,0
332222.665934,4128564.422915,0
332222.555109,4128564.203135,0
332222.461792,4128563.971905,0
332222.350745,4128563.741029,0
332222.239920,4128563.521249,0
332222.082548,4128563.191402,0
332221.980589,4128562.971444,0
332221.850479,4128562.674351,0
332221.739876,4128562.465666,0
332221.656091,4128562.267545,0
332221.572528,4128562.080519,0
332221.471013,4128561.882752,0
332221.369053,4128561.662795,8
332221.293911,4128561.453400,8
332221.192174,4128561.244538,8
332221.090214,4128561.024581,8
332221.006207,4128560.815364,8
332220.913779,4128560.628516,0
332220.812041,4128560.419654,0
332220.719613,4128560.232805,0
332220.590169,4128559.968998,0
332220.497741,4128559.782150,0
332220.396226,4128559.584383,0
332220.294710,4128559.386617,0
332220.184107,4128559.177932,0
332220.062640,4128558.869566,0
332219.969768,4128558.660526,0
332219.868252,4128558.462760,0
332219.739031,4128558.210048,0
332219.636849,4128557.978995,0
332219.526024,4128557.759215,0
332219.433374,4128557.561271,0
332219.332080,4128557.374601,0
