utm_x,utm_y,flag
332260.836577,4128603.840575,0
332260.599218,4128603.945225,0
332260.335041,4128604.039313,0
332260.000387,4128604.157011,0
332259.771670,4128604.250388,0
332259.560240,4128604.321220,0
332259.357674,4128604.391874,0
332259.119871,4128604.474334,0
332258.926171,4128604.544811,0
332258.714518,4128604.604547,0
332258.415103,4128604.710439,0
332258.221403,4128604.780916,0
332257.992686,4128604.874294,0
332257.763525,4128604.945481,0
332257.517079,4128605.039213,0
332257.252680,4128605.122205,0
332256.979638,4128605.216470,0
332256.715239,4128605.299462,0
332256.477213,4128605.370826,0
332256.256917,4128605.441835,0
332256.062995,4128605.501217,0
332255.869073,4128605.560598,0
332255.666508,4128605.631252,0
332255.428704,4128605.713712,0
332255.208409,4128605.784721,0
332254.926501,4128605.879164,0
332254.706428,4128605.961268,0
332254.468402,4128606.032633,0
332254.221734,4128606.115270,0
332253.966644,4128606.220275,0
332253.702245,4128606.303267,0
332253.446711,4128606.386082,0
332253.191399,4128606.479992,0
332252.935866,4128606.562807,0
332252.689419,4128606.656539,0
332252.443194,4128606.761368,0
332252.196526,4128606.844005,0
332251.958722,4128606.926465,0
332251.712276,4128607.020197,0
332251.474472,4128607.102657,0
332251.245534,4128607.184939,0
332251.007730,4128607.267399,0
332250.778792,4128607.349682,0
332250.540988,4128607.432141,0
332250.312050,4128607.514424,0
332250.065381,4128607.597061,0
332249.836443,4128607.679343,0
332249.484503,4128607.819588,0
332249.255565,4128607.901870,0
332249.018205,4128608.006521,0
332248.789489,4128608.099899,0
332248.552130,4128608.204549,0
332248.323413,4128608.297927,0
332247.981005,4128608.471281,0
332247.734337,4128608.553918,0
332247.505621,4128608.647296,0
332247.258952,4128608.729933,0
332247.030014,4128608.812216,0
332246.792432,4128608.905771,0
332246.545542,4128608.977313,0
332246.307516,4128609.048677,0
332246.069935,4128609.142233,0
332245.841218,4128609.235611,0
332245.603415,4128609.318071,0
332245.374699,4128609.411449,0
332245.145760,4128609.493731,0
332244.908179,4128609.587287,0
332244.679241,4128609.669569,0
332244.450525,4128609.762947,0
332244.221586,4128609.845230,0
332243.992648,4128609.927512,0
332243.754845,4128610.009972,0
332243.534993,4128610.103173,0
332243.297190,4128610.185633,0
332243.050522,4128610.268270,0
332242.803631,4128610.339812,0
332242.565828,4128610.422272,0
332242.337333,4128610.526746,0
332242.099530,4128610.609206,0
332241.861949,4128610.702761,0
332241.633233,4128610.796139,0
332241.395651,4128610.889695,0
332241.166935,4128610.983073,0
332240.937997,4128611.065356,0
332240.700416,4128611.158911,0
332240.471700,4128611.252289,0
332240.251849,4128611.345490,0
332240.022688,4128611.416677,0
332239.811480,4128611.498605,0
332239.582542,4128611.580887,0
332239.353604,4128611.663170,0
332239.133531,4128611.745275,0
332238.904593,4128611.827558,0
332238.657702,4128611.899100,0
332238.428986,4128611.992478,0
332238.190961,4128612.063843,0
332237.962245,4128612.157221,0
332237.733306,4128612.239504,0
332237.504590,4128612.332882,0
332237.267009,4128612.426438,0
332237.046936,4128612.508543,0
332236.818220,4128612.601921,0
332236.589504,4128612.695299,0
332236.360566,4128612.777582,0
332236.131628,4128612.859865,0
332235.902912,4128612.953243,0
332235.665108,4128613.035703,0
332235.435948,4128613.106890,0
332235.215875,4128613.188996,0
332235.013310,4128613.259651,0
332234.749356,4128613.364834,0
332234.529283,4128613.446940,0
332234.282837,4128613.540673,0
332234.071851,4128613.633696,0
332233.807897,4128613.738880,0
332233.596467,4128613.809712,0
332233.376171,4128613.880722,0
332233.147456,4128613.974100,0
332232.918517,4128614.056383,0
332232.680714,4128614.138844,0
332232.442911,4128614.221304,0
332232.213973,4128614.303587,0
332231.967305,4128614.386225,0
332231.729279,4128614.457589,0
332231.500563,4128614.550968,0
332231.271181,4128614.611060,0
332231.033156,4128614.682424,0
332230.795130,4128614.753789,0
332230.565970,4128614.824977,0
332230.327945,4128614.896342,0
332230.090142,4128614.978802,0
332229.861204,4128615.061085,0
332229.632044,4128615.132272,0
332229.394241,4128615.214733,0
332229.182811,4128615.285565,0
332228.962738,4128615.367671,0
332228.760173,4128615.438326,0
332228.575560,4128615.519721,0
332228.276146,4128615.625615,0
332228.029700,4128615.719349,0
332227.791897,4128615.801809,0
332227.457244,4128615.919508,0
332227.246036,4128616.001436,0
332227.034606,4128616.072269,0
332226.832041,4128616.142924,0
332226.514674,4128616.238077,0
332226.276649,4128616.309442,2
332226.082727,4128616.368824,2
332225.827416,4128616.462735,2
332225.430485,4128616.570581,2
332225.236786,4128616.641059,2
332224.972387,4128616.724052,2
332224.725719,4128616.806690,2
332224.532019,4128616.877168,2
332224.338320,4128616.947645,2
332224.144398,4128617.007028,2
332223.906817,4128617.100584,2
332223.704030,4128617.160143,2
332223.510331,4128617.230621,2
332223.281171,4128617.301809,0
332223.087471,4128617.372286,0
332222.682786,4128617.535787,0
332222.453848,4128617.618071,0
332222.224910,4128617.700354,0
332222.022345,4128617.771009,0
332221.731574,4128617.865630,0
332221.511723,4128617.958831,0
332221.318023,4128618.029309,0
332220.939045,4128618.147896,0
332220.639631,4128618.253790,0
332220.349303,4128618.370602,0
332220.050111,4128618.487592,0
332219.777514,4128618.604049,0
332219.548576,4128618.686332,0
332219.293487,4128618.791339,0
332219.090923,4128618.861994,0
332218.870850,4128618.944100,0
332218.677151,4128619.014577,0
332218.413197,4128619.119761,0
332218.201767,4128619.190594,0
332217.964186,4128619.284150,0
332217.700010,4128619.378239,0
332217.427191,4128619.483601,0
332217.136419,4128619.578222,0
332216.863600,4128619.683584,0
332216.608512,4128619.788591,0
332216.362066,4128619.882324,0
332216.133350,4128619.975703,0
332215.904634,4128620.069082,0
332215.693649,4128620.162106,0
332215.473576,4128620.244212,0
332215.253504,4128620.326317,0
332215.033431,4128620.408423,0
332214.822224,4128620.490352,0
332214.593508,4128620.583730,0
332214.373435,4128620.665836,0
332214.144720,4128620.759215,0
332213.906917,4128620.841676,0
332213.669336,4128620.935232,0
332213.308310,4128621.064560,0
332213.070508,4128621.147021,0
332212.824062,4128621.240755,0
332212.577394,4128621.323393,0
332212.330504,4128621.394936,0
332211.960613,4128621.524442,0
332211.731897,4128621.617821,0
332211.485007,4128621.689363,0
332211.256292,4128621.782742,0
332211.018711,4128621.876299,0
332210.789996,4128621.969678,0
332210.561280,4128622.063057,0
332210.332565,4128622.156436,0
332210.103627,4128622.238719,0
332209.866046,4128622.332276,0
332209.636886,4128622.403464,0
332209.399306,4128622.497020,0
332209.161503,4128622.579481,0
332208.914613,4128622.651024,0
332208.553810,4128622.791448,0
332208.333515,4128622.862458,0
332208.086847,4128622.945097,0
332207.839957,4128623.016640,0
332207.478709,4128623.134872,0
332207.240907,4128623.217333,0
332206.897611,4128623.346306,0
332206.668674,4128623.428590,0
332206.448601,4128623.510696,0
332206.114393,4128623.650587,0
332205.876590,4128623.733048,0
332205.638788,4128623.815509,0
332205.409850,4128623.897793,0
332205.180913,4128623.980077,0
332204.951975,4128624.062360,0
332204.599815,4128624.191511,0
332204.370655,4128624.262699,0
332204.141717,4128624.344983,0
332203.807065,4128624.462683,0
332203.578127,4128624.544967,0
332203.349190,4128624.627250,0
332203.120252,4128624.709534,0
332202.900180,4128624.791640,0
332202.671242,4128624.873924,0
332202.450948,4128624.944934,0
332202.230875,4128625.027041,0
332202.001716,4128625.098229,0
332201.781421,4128625.169239,0
332201.561349,4128625.251346,0
332201.332189,4128625.322534,0
332201.085299,4128625.394077,0
332200.846830,4128625.443252,0
332200.617004,4128625.481154,0
332200.378090,4128625.508137,0
332200.148042,4128625.534944,0
332199.908906,4128625.550832,0
332199.669771,4128625.566720,0
332199.439722,4128625.593527,0
332199.218317,4128625.609060,0
332198.988046,4128625.624771,0
332198.757554,4128625.629386,0
332198.518196,4128625.634179,0
332198.278616,4128625.627876,0
332198.038814,4128625.610478,0
332197.807877,4128625.592903,0
332197.576495,4128625.553136,0
332197.362844,4128625.513014,0
332197.148526,4128625.439606,0
332196.943074,4128625.366021,0
332196.737399,4128625.281340,0
332196.531502,4128625.185563,0
332196.325605,4128625.089786,0
332196.119264,4128624.971819,0
332195.895192,4128624.854206,0
332195.671120,4128624.736594,0
332195.339112,4128624.543443,0
332195.114596,4128624.403640,0
332194.799652,4128624.176847,0
332194.592644,4128624.025593,0
332194.394057,4128623.851971,0
332194.204335,4128623.678171,0
332194.032121,4128623.492920,0
332193.859684,4128623.296574,0
332193.696113,4128623.100051,0
332193.523899,4128622.914800,0
332193.369193,4128622.718099,0
332193.214487,4128622.521398,0
332193.059781,4128622.324697,0
332192.913940,4128622.127818,0
332192.785607,4128621.919489,0
332192.657052,4128621.700065,0
332192.546227,4128621.480285,0
332192.426537,4128621.260683,0
332192.306847,4128621.041081,0
332192.195800,4128620.810206,0
332192.093840,4128620.590249,0
332191.982793,4128620.359373,0
332191.880611,4128620.128321,0
332191.769563,4128619.897446,0
332191.667604,4128619.677489,0
332191.501144,4128619.336724,0
332191.343549,4128618.995781,0
332191.241367,4128618.764729,0
332191.139185,4128618.533676,0
332191.037225,4128618.313719,0
332190.926178,4128618.082844,0
332190.815131,4128617.851969,0
332190.713171,4128617.632012,0
332190.610989,4128617.400959,0
332190.508807,4128617.169906,0
332190.397760,4128616.939031,0
332190.295800,4128616.719074,0
332190.193617,4128616.488021,0
332190.091435,4128616.256969,0
332189.989253,4128616.025916,0
332189.887293,4128615.805959,0
332189.785111,4128615.574907,0
332189.691794,4128615.343676,0
332189.589834,4128615.123719,0
332189.487652,4128614.892667,0
332189.394335,4128614.661437,0
332189.292153,4128614.430384,0
332189.190193,4128614.210427,0
332189.088233,4128613.990470,0
332188.977408,4128613.770690,0
332188.866583,4128613.550911,0
332188.764400,4128613.319858,0
332188.653575,4128613.100078,0
332188.542528,4128612.869203,0
332188.431703,4128612.649424,0
332188.329520,4128612.418371,0
332188.236203,4128612.187141,0
332188.151751,4128611.955733,0
332188.075942,4128611.713053,0
332188.017863,4128611.470017,0
332187.942054,4128611.227336,0
332187.892841,4128610.984123,0
332187.852270,4128610.729637,0
332187.820564,4128610.474973,0
332187.788859,4128610.220309,0
332187.766018,4128609.965468,0
332187.752265,4128609.721545,0
332187.756242,4128609.477266,0
332187.769084,4128609.232811,0
332187.817387,4128608.987645,0
332187.874999,4128608.764492,0
332187.941254,4128608.530067,0
332188.016596,4128608.306559,0
332188.142685,4128607.959936,0
332188.217805,4128607.725333,0
332188.311100,4128607.512566,0
332188.413927,4128607.332907,0
332188.516531,4128607.142154,0
332188.628223,4128606.962318,0
332188.739914,4128606.782482,0
332188.920527,4128606.501367,0
332189.040862,4128606.310258,0
332189.169839,4128606.107877,0
332189.307904,4128605.916413,0
332189.454834,4128605.724772,0
332189.610629,4128605.532953,0
332189.862163,4128605.250417,0
332190.035911,4128605.069339,0
332190.209658,4128604.888261,0
332190.470280,4128604.616643,0
332190.670623,4128604.435033,0
332190.862545,4128604.275790,0
332191.063555,4128604.127466,0
332191.273874,4128604.001155,0
332191.475327,4128603.875022,0
332191.694512,4128603.748533,0
332191.905053,4128603.633318,0
332192.115594,4128603.518102,0
332192.335001,4128603.402709,0
332192.554407,4128603.287317,0
332192.888171,4128603.125234,0
332193.107800,4128603.020937,0
332193.327206,4128602.905544,0
332193.660748,4128602.732366,0
332193.889242,4128602.627891,0
332194.108649,4128602.512498,0
332194.337364,4128602.419118,0
332194.556993,4128602.314821,0
332194.785265,4128602.199251,0
332195.004671,4128602.083858,0
332195.233387,4128601.990479,0
332195.453016,4128601.886181,0
332195.681509,4128601.781706,0
332195.910225,4128601.688327,0
332196.129854,4128601.584030,0
332196.340618,4128601.479910,0
332196.569334,4128601.386531,0
332196.798049,4128601.293151,0
332197.017900,4128601.199949,0
332197.246616,4128601.106570,0
332197.475332,4128601.013191,0
332197.713136,4128600.930730,0
332197.950717,4128600.837173,0
332198.179433,4128600.743794,0
332198.408149,4128600.650414,0
332198.628000,4128600.557212,0
332198.847628,4128600.452915,0
332199.076122,4128600.348441,0
332199.304838,4128600.255061,0
332199.533999,4128600.183873,0
332199.781778,4128600.156712,0
332200.021136,4128600.151919,0
332200.260717,4128600.158222,0
332200.500964,4128600.197811,0
332200.750077,4128600.237223,0
332200.990546,4128600.287907,0
332201.231460,4128600.360783,0
332201.463953,4128600.456027,0
332201.688025,4128600.573640,0
332201.903010,4128600.680334,0
332202.118216,4128600.798125,0
332202.315471,4128600.905174,0
332202.504305,4128601.034593,0
332202.675186,4128601.153270,0
332202.828559,4128601.283399,0
332203.036456,4128601.479035,0
332203.209115,4128601.686477,0
332203.410146,4128601.982150,0
332203.511217,4128602.157725,0
332203.603867,4128602.355669,0
332203.696740,4128602.564708,0
332203.789835,4128602.784843,0
332203.891794,4128603.004800,0
332203.993754,4128603.224757,0
332204.077983,4128603.445070,0
