utm_x,utm_y,flag
332231.900723,4128577.835459,1
332232.164678,4128577.730275,1
332232.402482,4128577.647815,1
332232.666438,4128577.542631,1
332233.080212,4128577.390049,1
332233.353033,4128577.284688,1
332233.625632,4128577.168231,1
332233.898452,4128577.062870,1
332234.153543,4128576.957864,1
332234.417498,4128576.852680,1
332234.655302,4128576.770220,1
332234.884019,4128576.676842,1
332235.103871,4128576.583641,1
332235.306215,4128576.501891,1
332235.534932,4128576.408512,1
332235.772514,4128576.314957,1
332236.009874,4128576.210305,1
332236.264743,4128576.094204,1
332236.510968,4128575.989375,1
332236.748328,4128575.884724,1
332236.959537,4128575.802796,1
332237.143706,4128575.699210,1
332237.363558,4128575.606009,1
332237.548171,4128575.524614,1
332237.794397,4128575.419785,1
332237.979010,4128575.338390,1
332238.242744,4128575.222111,1
332238.506255,4128575.094737,1
332238.708377,4128575.001891,1
332238.919363,4128574.908868,1
332239.209026,4128574.758770,1
332239.384330,4128574.655361,1
332239.585563,4128574.518133,1
332239.804527,4128574.380551,1
332240.024601,4128574.298446,1
332240.271271,4128574.215808,1
332240.474725,4128574.189535,1
332240.705219,4128574.184921,1
332240.945022,4128574.202321,1
332241.167762,4128574.253362,1
332241.364128,4128574.316030,1
332241.596621,4128574.411276,1
332241.830225,4128574.561998,1
332242.028812,4128574.735622,1
332242.200804,4128574.909778,1
332242.310739,4128575.085176,1
332242.403167,4128575.272025,1
332242.522634,4128575.480532,1
332242.651633,4128575.722149,1
332242.779743,4128575.919383,1
332242.917162,4128576.138631,1
332243.117527,4128576.401018,1
332243.272010,4128576.586625,1
332243.417628,4128576.772409,1
332243.653009,4128577.011895,1
332243.842287,4128577.163506,1
332244.049295,4128577.314761,1
332244.273811,4128577.454566,1
332244.489240,4128577.583452,1
332244.713090,4128577.689971,1
332244.936496,4128577.774298,1
332245.248997,4128577.879042,1
332245.489911,4128577.951919,1
332245.757420,4128578.024263,1
332246.032906,4128578.052049,1
332246.325901,4128578.068383,1
332246.600498,4128578.051787,1
332246.874652,4128578.012999,1
332247.166313,4128577.962761,1
332247.360236,4128577.903379,1
332247.633279,4128577.809114,1
332247.844710,4128577.738282,1
