utm_x,utm_y,flag
332197.812945,4128557.194964,0
332197.593093,4128557.288166,0
332197.320939,4128557.426814,0
332197.136770,4128557.530402,0
332196.952823,4128557.645084,0
332196.786606,4128557.759412,0
332196.629699,4128557.895753,0
332196.446641,4128558.054818,0
332196.299043,4128558.213172,0
332196.152334,4128558.415909,0
332196.006292,4128558.651932,0
332195.904131,4128558.864876,0
332195.784684,4128559.100367,0
332195.700920,4128559.346243,0
332195.643752,4128559.591586,0
332195.603647,4128559.803288,0
332195.573075,4128560.048099,0
332195.541835,4128560.259624,0
332195.519683,4128560.482066,0
332195.505952,4128560.682140,0
332195.484244,4128560.926773,0
332195.470513,4128561.126847,0
332195.457448,4128561.360207,0
332195.461892,4128561.582117,0
332195.448827,4128561.815478,0
332195.461913,4128562.026114,0
332195.467023,4128562.281311,0
332195.471245,4128562.492125,0
332195.492974,4128562.691489,0
332195.498306,4128562.957781,0
332195.512726,4128563.234991,0
332195.536233,4128563.523118,0
332195.577026,4128563.788700,0
332195.626239,4128564.031913,0
332195.674786,4128564.241840,0
332195.714246,4128564.440849,0
332195.772103,4128564.672789,0
332195.829515,4128564.882538,0
332195.904658,4128565.091933,0
332195.980467,4128565.334613,0
332196.046522,4128565.533090,0
332196.112578,4128565.731566,0
332196.178855,4128565.941138,0
332196.245355,4128566.161805,0
332196.329362,4128566.371022,0
332196.395418,4128566.569498,0
332196.471227,4128566.812179,0
332196.546592,4128567.032668,0
332196.639465,4128567.241708,0
332196.723917,4128567.473115,0
332196.808813,4128567.726714,0
332196.892599,4128567.924835,0
332196.987027,4128568.211543,0
332197.063502,4128568.487510,0
332197.121581,4128568.730546,0
332197.152398,4128568.940828,0
332197.192302,4128569.162027,0
332197.223119,4128569.372309,0
332197.253936,4128569.582591,0
332197.294506,4128569.837077,0
332197.334855,4128570.080468,0
332197.366338,4128570.324036,0
332197.406464,4128570.556332,0
332197.428416,4128570.766791,0
332197.468542,4128570.999086,0
332197.508668,4128571.231382,0
332197.540374,4128571.486045,0
332197.563436,4128571.751982,0
332197.585165,4128571.951346,0
332197.600251,4128572.261842,0
332197.586742,4128572.473012,0
332197.582098,4128572.684003,0
332197.550859,4128572.895528,0
332197.510532,4128573.096134,0
332197.445165,4128573.374942,0
332197.361624,4128573.631913,0
332197.260352,4128573.889240,0
332197.166390,4128574.068720,0
332197.054920,4128574.259651,0
332196.943450,4128574.450582,0
332196.805162,4128574.630950,0
332196.684382,4128574.799868,0
332196.563603,4128574.968785,0
332196.390521,4128575.183150,0
332196.234947,4128575.386064,0
332196.079151,4128575.577883,0
332195.914935,4128575.792070,0
332195.785068,4128575.950069,0
332195.637470,4128576.108424,0
332195.489651,4128576.255683,0
332195.332966,4128576.403120,0
332195.114892,4128576.585086,0
332194.913660,4128576.722314,0
332194.748110,4128576.869929,0
332194.555743,4128577.006980,0
332194.380884,4128577.132581,0
332194.179429,4128577.258714,0
332193.969331,4128577.396120,0
332193.784941,4128577.488612,0
332193.591685,4128577.581281,0
332193.363412,4128577.696852,0
332193.108323,4128577.801859,0
332192.896892,4128577.872692,0
332192.703414,4128577.954266,0
332192.474475,4128578.036550,0
332192.272132,4128578.118302,0
332192.078431,4128578.188780,0
332191.875644,4128578.248340,0
332191.628530,4128578.308788,0
332191.354599,4128578.358673,0
332191.097732,4128578.374917,0
332190.867460,4128578.390628,0
