utm_x,utm_y,flag
418435.032440,3867808.815613,11
418434.984903,3867808.605311,0
418434.937464,3867808.406099,0
418434.899057,3867808.195715,0
418434.851222,3867807.952143,0
418434.775399,3867807.642276,0
418434.726574,3867807.287804,0
418434.678640,3867807.033141,0
418434.630706,3867806.778479,0
418434.573640,3867806.523899,0
418434.535036,3867806.291335,0
418434.487498,3867806.081033,0
418434.439267,3867805.793101,0
418434.382499,3867805.571790,0
418434.316797,3867805.372742,0
418434.214671,3867805.185109,0
418434.038901,3867804.931589,0
418433.872955,3867804.755617,0
418433.698076,3867804.601906,0
418433.486871,3867804.470702,0
418433.184453,3867804.351404,0
418432.937318,3867804.287066,0
418432.672217,3867804.256161,0
418432.398381,3867804.269698,0
418432.143105,3867804.316342,0
418431.888126,3867804.396256,0
418431.633147,3867804.476169,0
418431.414396,3867804.522487,0
418431.177283,3867804.557877,0
418430.976596,3867804.581852,0
