utm_x,utm_y,flag
332238.334012,4128554.086003,0
332238.408932,4128554.284302,0
332238.510891,4128554.504259,0
332238.640112,4128554.756971,0
332238.741849,4128554.965833,0
332238.834721,4128555.174873,0
332238.918506,4128555.372995,0
332238.993203,4128555.560198,0
332239.085631,4128555.747047,0
332239.187368,4128555.955909,0
332239.307724,4128556.208798,0
332239.419437,4128556.472960,0
332239.521840,4128556.715109,0
332239.614268,4128556.901958,0
332239.734180,4128557.132656,0
332239.837250,4128557.408091,0
332239.921923,4128557.650595,0
332240.014795,4128557.859634,0
332240.089492,4128558.046838,0
332240.183030,4128558.289164,0
332240.275902,4128558.498204,0
332240.350822,4128558.696503,0
332240.425519,4128558.883707,0
332240.509970,4128559.115115,0
332240.593532,4128559.302141,0
332240.677539,4128559.511358,0
332240.752903,4128559.731848,0
332240.837131,4128559.952161,0
332240.920916,4128560.150282,9
332241.014232,4128560.381513,9
332241.108215,4128560.646030,9
332241.182912,4128560.833234,9
332241.257609,4128561.020437,9
332241.351147,4128561.262764,9
332241.434932,4128561.460885,9
332241.509851,4128561.659184,9
332241.603612,4128561.912606,9
332241.687840,4128562.132919,9
332241.762760,4128562.331218,0
332241.837901,4128562.540612,0
332241.949170,4128562.782583,0
332242.059772,4128562.991268,0
332242.179906,4128563.233062,0
332242.309349,4128563.496869,0
332242.456522,4128563.760322,0
332242.595052,4128564.035047,0
332242.742448,4128564.309595,0
332242.871891,4128564.573402,0
332243.009977,4128564.825936,0
332243.103515,4128565.068263,0
332243.187299,4128565.266384,0
332243.271306,4128565.475601,0
332243.374153,4128565.739941,0
332243.477001,4128566.004281,0
332243.571427,4128566.290989,0
332243.646347,4128566.489288,0
332243.721710,4128566.709778,0
332243.788431,4128566.941541,0
332243.855373,4128567.184400,0
332243.913451,4128567.427436,0
332243.962663,4128567.670649,0
332244.032493,4128568.057749,0
332244.072840,4128568.301140,0
332244.095457,4128568.544886,0
332244.100121,4128568.777891,0
332244.104341,4128568.988706,0
332244.099696,4128569.199698,0
332244.086186,4128569.410867,0
332244.072676,4128569.622036,0
332244.041879,4128569.855751,0
332244.001773,4128570.067453,0
332243.953247,4128570.301523,0
332243.895633,4128570.524675,0
332243.847106,4128570.758745,0
332243.780627,4128570.982075,0
332243.687553,4128571.205937,0
332243.585613,4128571.429976,0
332243.483451,4128571.642920,0
332243.372646,4128571.867137,0
332243.252976,4128572.091531,0
332243.115354,4128572.305185,0
332242.968422,4128572.496825,0
332242.794673,4128572.677902,0
332242.612280,4128572.870252,0
332242.429444,4128573.040411,0
332242.237742,4128573.210748,0
332242.019000,4128573.359426,0
332241.808680,4128573.485736,0
332241.598581,4128573.623141,0
332241.388261,4128573.749450,0
332241.177496,4128573.853569,0
332240.984017,4128573.935142,0
332240.799626,4128574.027632,0
332240.536115,4128574.155007,0
332240.351723,4128574.247497,0
332240.105942,4128574.374517,0
332239.851296,4128574.501714,0
332239.596650,4128574.628911,0
332239.236510,4128574.802619,0
332239.043476,4128574.906383,0
332238.841576,4128575.010324,0
332238.621724,4128575.103525,0
332238.402094,4128575.207821,0
332238.182242,4128575.301022,0
332237.971033,4128575.382950,0
332237.760047,4128575.475973,0
332237.557703,4128575.557723,0
332237.355359,4128575.639473,0
332237.162103,4128575.732142,0
332236.977489,4128575.813537,0
332236.713756,4128575.929816,0
332236.467531,4128576.034645,0
332236.265409,4128576.127490,0
332236.045557,4128576.220691,0
332235.737720,4128576.348953,0
332235.473764,4128576.454137,0
332235.262333,4128576.524969,0
332235.033616,4128576.618347,0
332234.786947,4128576.700985,0
332234.540500,4128576.794718,0
332234.311783,4128576.888096,0
332234.118082,4128576.958574,0
332233.933691,4128577.051064,0
332233.713617,4128577.133170,0
332233.476035,4128577.226725,0
332233.273691,4128577.308476,0
332233.036331,4128577.413127,0
332232.728050,4128577.519198,0
332232.490245,4128577.601658,0
332232.287680,4128577.672313,0
332232.093979,4128577.742791,0
332231.882992,4128577.835814,0
